what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sf.eclipsefp.common.ui,0.10.0,net.sf.eclipsefp.common.ui,1606752010589
started,bundle,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui,1606752010590
started,bundle,net.sf.eclipsefp.common.core,0.10.0,net.sf.eclipsefp.common.core,1606752010591
started,bundle,de.leiffrenzel.fp.haskell.ghccompiler,0.10.0,de.leiffrenzel.fp.haskell.ghccompiler,1606752010595
started,bundle,net.sf.eclipsefp.haskell.core.jparser,0.10.0,net.sf.eclipsefp.haskell.core.jparser,1606752010597
started,bundle,net.sf.eclipsefp.haskell.core,0.10.0,net.sf.eclipsefp.haskell.core,1606752010598
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1606752013007
started,bundle,org.eclipse.dltk.core,0.95.1.v20080920-R0951,org.eclipse.dltk.core,1606752021385
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1606752021397
started,bundle,org.eclipse.dltk.launching,0.95.1.v20080915-1703,org.eclipse.dltk.launching,1606752021401
started,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1606752021402
started,bundle,org.eclipse.dltk.ruby.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.ui,1606752021403
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752023832
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1606752023855
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1606752023976
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.TaskList,1606752024014
activated,perspective,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.HaskellPerspective,1606752024040
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.TaskList,1606752024061
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1606752026251
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752027311
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752028704
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752029198
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752064901
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1606752068561
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752070296
