what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752115205
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752119706
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606752119746
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606752119767
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1606752120702
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752122831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752128240
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606752128280
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606752128300
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752129461
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752137640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752140491
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752155296
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1606752155306
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752160240
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752166283
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1606752170596
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752172744
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752173358
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752173864
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606752709433
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606752711177
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1606752711929
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1606752714021
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753091107
